15_3,0.007287734
15_14,0.001435362
15_2,0.003882449
14_16,0.003745895
14_17,0.003344407
16_18,0.001906298
16_17,0.000912862
17_2,0.003416807
17_0,0.000979651
0_18,0.000615623
0_8,0.000650204
0_1,0.000619359
3_9,0.002665426
3_2,0.000674642
2_4,0.001572842
1_13,0.002301452
8_1,0.000659675
18_5,0.003193812
18_8,0.000622217
4_12,0.001447944
4_13,0.002708643
9_7,0.001385515
9_12,0.001461129
12_10,0.001678064
13_5,0.001753938
5_21,0.004564308
7_20,0.003183962
7_10,0.001810695
10_6,0.006969476
10_21,0.001554571
21_11,0.002708643
19_20,0.003993465
19_6,0.00082195
6_11,0.011370059
20_11,0.001996732
